HITId,HITTypeId,,,,Reward,CreationTime,,,,,,,,AssignmentId,WorkerId,,,,,,,,WorkTimeInSeconds,,,,Input.links,Answer.suggestion_texts,Answer.surveycode,,Duration (min.)
3MG8450X2PL8TBFR50SVZE4SWDWPUX,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,37QW5D2ZRIX9UQLZKG0LNBN3HP38SK,A3MJCHFORYK0US,,,,,,,,2887,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=0,"please, don't reject my HIT because i submitted with my mturk ID. i am not sure if this is correct but this is what i found on the tab that was meant to have the work code: [{""i"":""mturk_id"",""r"":""A3MJCHFORYK0US"",""d"":0},{""i"":""2007_000528"",""r"":""8""},{""i"":""2007_000876"",""r"":""4""},{""i"":""2007_003778"",""r"":""8""},{""i"":""2008_000824"",""r"":""5""},{""i"":""2008_000950"",""r"":""8""},{""i"":""2008_001980"",""r"":""8""},{""i"":""2008_002177"",""r"":""8""},{""i"":""2008_002225"",""r"":""6""},{""i"":""2008_002294"",""r"":""6""},{""i"":""2008_002299"",""r"":""8""},{""i"":""2008_002410"",""r"":""6""},{""i"":""2008_002583"",""r"":""7""},{""i"":""2008_003386"",""r"":""7""},{""i"":""2008_003559"",""r"":""5""},{""i"":""2008_003559"",""r"":""5""},{""i"":""2008_003559"",""r"":""5""}]",A3MJCHFORYK0US,40,4
3MG8450X2PL8TBFR50SVZE4SWDWPUX,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,3CTOC39K391CV9XQNHZ1HA0LAL27JW,A28HQQPBN2MUNR,,,,,,,,1196,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=0,{},"[{""i"":""mturk_id"",""r"":""A28HQQPBN2MUNR"",""d"":0},{""i"":""2007_000528"",""r"":""8""},{""i"":""2007_000876"",""r"":""4""},{""i"":""2007_003778"",""r"":""10""},{""i"":""2008_000824"",""r"":""2""},{""i"":""2008_000950"",""r"":""10""},{""i"":""2008_001980"",""r"":""7""},{""i"":""2008_002177"",""r"":""5""},{""i"":""2008_002225"",""r"":""3""},{""i"":""2008_002294"",""r"":""2""},{""i"":""2008_002299"",""r"":""10""},{""i"":""2008_002410"",""r"":""8""},{""i"":""2008_002583"",""r"":""8""},{""i"":""2008_003386"",""r"":""8""},{""i"":""2008_003559"",""r"":""6""}]",70,10
3MG8450X2PL8TBFR50SVZE4SWDWPUX,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,3ERMJ6L4D032WH3BQECTX2S2EGE7MJ,A3PQ5Q456J981M,,,,,,,,2928,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=0,code not found,"[{""i"":""mturk_id"",""r"":""A3PQ5Q456J981M"",""d"":0},{""i"":""2007_000528"",""r"":""10""},{""i"":""2007_000876"",""r"":""9""},{""i"":""2007_003778"",""r"":""7""},{""i"":""2008_000824"",""r"":""8""},{""i"":""2008_000950"",""r"":""3""},{""i"":""2008_001980"",""r"":""8""},{""i"":""2008_002177"",""r"":""7""},{""i"":""2008_002225"",""r"":""8""},{""i"":""2008_002225"",""r"":""6""},{""i"":""2008_002294"",""r"":""8""},{""i"":""2008_002299"",""r"":""10""},{""i"":""2008_002410"",""r"":""8""},{""i"":""2008_002583"",""r"":""9""},{""i"":""2008_003386"",""r"":""9""},{""i"":""2008_003559"",""r"":""9""}]",50,5
3MG8450X2PL8TBFR50SVZE4SWDWPUX,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,3PMBY0YE29ET1EFDSMGZ82EWFS89CP,AZ4HOU8N4FZ53,,,,,,,,1020,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=0,NO,"data:text/json;charset=utf-8,%5B%7B%22i%22%3A%22mturk_id%22%2C%22r%22%3A%22AZ4HOU8N4FZ53%22%2C%22d%22%3A0%7D%2C%7B%22i%22%3A%222007_000528%22%2C%22r%22%3A%227%22%7D%2C%7B%22i%22%3A%222007_000876%22%2C%22r%22%3A%222%22%7D%2C%7B%22i%22%3A%222007_003778%22%2C%22r%22%3A%228%22%7D%2C%7B%22i%22%3A%222008_000824%22%2C%22r%22%3A%221%22%7D%2C%7B%22i%22%3A%222008_000950%22%2C%22r%22%3A%226%22%7D%2C%7B%22i%22%3A%222008_001980%22%2C%22r%22%3A%227%22%7D%2C%7B%22i%22%3A%222008_002177%22%2C%22r%22%3A%222%22%7D%2C%7B%22i%22%3A%222008_002225%22%2C%22r%22%3A%222%22%7D%2C%7B%22i%22%3A%222008_002294%22%2C%22r%22%3A%223%22%7D%2C%7B%22i%22%3A%222008_002299%22%2C%22r%22%3A%227%22%7D%2C%7B%22i%22%3A%222008_002410%22%2C%22r%22%3A%226%22%7D%2C%7B%22i%22%3A%222008_002583%22%2C%22r%22%3A%224%22%7D%2C%7B%22i%22%3A%222008_003386%22%2C%22r%22%3A%226%22%7D%2C%7B%22i%22%3A%222008_003559%22%2C%22r%22%3A%223%22%7D%5D",70,10
3MG8450X2PL8TBFR50SVZE4SWDWPUX,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,3QXNC7EIPK697MKXG6NFD1CV62Z90I,ATXUM0GBU5MC8,,,,,,,,1571,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=0,GOOD,"[{""i"":""mturk_id"",""r"":""ATXUM0GBU5MC8"",""d"":0},{""i"":""2007_000528"",""r"":""6""},{""i"":""2007_000876"",""r"":""8""},{""i"":""2007_003778"",""r"":""4""},{""i"":""2008_000824"",""r"":""4""},{""i"":""2008_000950"",""r"":""5""},{""i"":""2008_001980"",""r"":""7""},{""i"":""2008_002177"",""r"":""5""},{""i"":""2008_002225"",""r"":""7""},{""i"":""2008_002294"",""r"":""9""},{""i"":""2008_002299"",""r"":""7""},{""i"":""2008_002410"",""r"":""6""},{""i"":""2008_002583"",""r"":""8""},{""i"":""2008_003386"",""r"":""10""},{""i"":""2008_003559"",""r"":""9""}]",70,10
3MG8450X2PL8TBFR50SVZE4SWDWPUX,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,3TUI152ZZDYF6AM1TR21D1LULU11QR,AILDNTO2TWB4A,,,,,,,,471,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=0,No,"[{""i"":""mturk_id"",""r"":""AILDNTO2TWB4A"",""d"":0},{""i"":""2007_000528"",""r"":""8""},{""i"":""2007_000876"",""r"":""6""},{""i"":""2007_003778"",""r"":""9""},{""i"":""2008_000824"",""r"":""5""},{""i"":""2008_000950"",""r"":""10""},{""i"":""2008_001980"",""r"":""9""},{""i"":""2008_002177"",""r"":""1""},{""i"":""2008_002225"",""r"":""1""},{""i"":""2008_002294"",""r"":""4""},{""i"":""2008_002299"",""r"":""9""},{""i"":""2008_002410"",""r"":""8""},{""i"":""2008_002583"",""r"":""7""},{""i"":""2008_003386"",""r"":""9""},{""i"":""2008_003559"",""r"":""2""},{""i"":""2008_003559"",""r"":""2""}]",40,4
3MG8450X2PL8TBFR50SVZE4SWDWPUX,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,3UNH76FOCUGLB1ZCDN2TAFCZIE5YMR,A320QA9HJFUOZO,,,,,,,,256,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=0,You probably should make HITs that don't automatically download suspicious files onto people's computers,"[{""i"":""mturk_id"",""r"":""A320QA9HJFUOZO"",""d"":0},{""i"":""2007_000528"",""r"":""9""},{""i"":""2007_000876"",""r"":""1""},{""i"":""2007_003778"",""r"":""9""},{""i"":""2008_000824"",""r"":""2""},{""i"":""2008_000950"",""r"":""10""},{""i"":""2008_001980"",""r"":""8""},{""i"":""2008_002177"",""r"":""6""},{""i"":""2008_002225"",""r"":""4""},{""i"":""2008_002294"",""r"":""3""},{""i"":""2008_002299"",""r"":""9""},{""i"":""2008_002410"",""r"":""7""},{""i"":""2008_002583"",""r"":""8""},{""i"":""2008_003386"",""r"":""8""},{""i"":""2008_003559"",""r"":""6""}]",40,4
3MG8450X2PL8TBFR50SVZE4SWDWPUX,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,3VELCLL3GMUIFLWSFBR712HGESLF14,A1CW0W7Q2NLDDJ,,,,,,,,466,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=0,I copied everything from the file it downloaded. Hopefully i did it right.,"[{""i"":""mturk_id"",""r"":""A1CW0W7Q2NLDDJ"",""d"":0},{""i"":""2007_000528"",""r"":""8""},{""i"":""2007_000876"",""r"":""4""},{""i"":""2007_003778"",""r"":""9""},{""i"":""2008_000824"",""r"":""4""},{""i"":""2008_000950"",""r"":""9""},{""i"":""2008_001980"",""r"":""8""},{""i"":""2008_002177"",""r"":""7""},{""i"":""2008_002225"",""r"":""7""},{""i"":""2008_002294"",""r"":""7""},{""i"":""2008_002299"",""r"":""9""},{""i"":""2008_002410"",""r"":""8""},{""i"":""2008_002583"",""r"":""10""},{""i"":""2008_003386"",""r"":""9""},{""i"":""2008_003559"",""r"":""7""}]",40,4
3MG8450X2PL8TBFR50SVZE4SWDWPUX,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,3VP0C6EFSI7JSHP67471ROS6J4D6M0,A82Q1HS5CPZ5I,,,,,,,,363,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=0,no,"[{""i"":""mturk_id"",""r"":""A82Q1HS5CPZ5I"",""d"":0},{""i"":""2007_000528"",""r"":""8""},{""i"":""2007_000876"",""r"":""4""},{""i"":""2007_003778"",""r"":""8""},{""i"":""2008_000824"",""r"":""2""},{""i"":""2008_000950"",""r"":""9""},{""i"":""2008_001980"",""r"":""8""},{""i"":""2008_002177"",""r"":""7""},{""i"":""2008_002225"",""r"":""3""},{""i"":""2008_002294"",""r"":""3""},{""i"":""2008_002299"",""r"":""9""},{""i"":""2008_002410"",""r"":""8""},{""i"":""2008_002583"",""r"":""8""},{""i"":""2008_003386"",""r"":""10""},{""i"":""2008_003559"",""r"":""7""},{""i"":""2008_003386"",""r"":""9""},{""i"":""2008_003559"",""r"":""7""}]",60,6
3MG8450X2PL8TBFR50SVZE4SWDWPUX,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,3YOH7BII0BI9HJ44N02TO3G1BSEVKG,ARGR4AJESGHHP,,,,,,,,1948,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=0,none,"[{""i"":""mturk_id"",""r"":""ARGR4AJESGHHP"",""d"":0},{""i"":""2007_000528"",""r"":""10""},{""i"":""2007_000876"",""r"":""9""},{""i"":""2007_003778"",""r"":""8""},{""i"":""2008_000824"",""r"":""10""},{""i"":""2008_000950"",""r"":""10""},{""i"":""2008_001980"",""r"":""8""},{""i"":""2008_002177"",""r"":""9""},{""i"":""2008_002225"",""r"":""10""},{""i"":""2008_002294"",""r"":""8""},{""i"":""2008_002299"",""r"":""9""},{""i"":""2008_002410"",""r"":""10""},{""i"":""2008_002583"",""r"":""8""},{""i"":""2008_003386"",""r"":""8""},{""i"":""2008_003559"",""r"":""10""}]",50,5
375VSR8FVXKARNPGOFVSL1JMZDZZRO,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,32XVDSJFP18VAG65K2VY1BBU302M2S,A29GLTXKFWGH1Z,,,,,,,,129,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=1,code not found,"[{""i"":""mturk_id"",""r"":""A29GLTXKFWGH1Z"",""d"":0},{""i"":""2008_004303"",""r"":""8""},{""i"":""2008_005300"",""r"":""8""},{""i"":""2008_005496"",""r"":""8""},{""i"":""2008_005566"",""r"":""9""},{""i"":""2008_005600"",""r"":""7""},{""i"":""2008_006081"",""r"":""8""},{""i"":""2008_006377"",""r"":""6""},{""i"":""2008_006609"",""r"":""9""},{""i"":""2008_007403"",""r"":""6""},{""i"":""2008_007610"",""r"":""10""},{""i"":""2009_000504"",""r"":""7""},{""i"":""2009_000684"",""r"":""6""},{""i"":""2009_001391"",""r"":""5""},{""i"":""2009_002008"",""r"":""7""}]",50,5
375VSR8FVXKARNPGOFVSL1JMZDZZRO,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,35GMH2SV3GSB5Z3XQ25CVG9OV30EOU,A2KWEVSI7P1RGQ,,,,,,,,1992,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=1,code not found,"[{""i"":""mturk_id"",""r"":""A2KWEVSI7P1RGQ"",""d"":0},{""i"":""2008_004303"",""r"":""10""},{""i"":""2008_005300"",""r"":""7""},{""i"":""2008_005496"",""r"":""7""},{""i"":""2008_005566"",""r"":""7""},{""i"":""2008_005600"",""r"":""7""},{""i"":""2008_006081"",""r"":""8""},{""i"":""2008_006377"",""r"":""6""},{""i"":""2008_006609"",""r"":""7""},{""i"":""2008_007403"",""r"":""6""},{""i"":""2008_007610"",""r"":""7""},{""i"":""2009_000504"",""r"":""7""},{""i"":""2009_000684"",""r"":""5""},{""i"":""2009_001391"",""r"":""8""},{""i"":""2009_002008"",""r"":""6""}]",40,4
375VSR8FVXKARNPGOFVSL1JMZDZZRO,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,39K0FND3AJQKFJ19XHOD7TUSFN5MA8,A2B6WQG0A9CKXQ,,,,,,,,2182,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=1,{},"[{""i"":""mturk_id"",""r"":""A2B6WQG0A9CKXQ"",""d"":0},{""i"":""2008_004303"",""r"":""2""},{""i"":""2008_005300"",""r"":""4""},{""i"":""2008_005496"",""r"":""6""},{""i"":""2008_005566"",""r"":""9""},{""i"":""2008_005600"",""r"":""9""},{""i"":""2008_006081"",""r"":""5""},{""i"":""2008_006377"",""r"":""9""},{""i"":""2008_006609"",""r"":""8""},{""i"":""2008_007403"",""r"":""3""},{""i"":""2008_007610"",""r"":""8""},{""i"":""2009_000504"",""r"":""7""},{""i"":""2009_000684"",""r"":""8""},{""i"":""2009_001391"",""r"":""9""},{""i"":""2009_002008"",""r"":""4""}]",40,4
375VSR8FVXKARNPGOFVSL1JMZDZZRO,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,3B3WTRP3DDDG3WNBVTRTWP5A31Y29C,A5PKYZJRK1ZFW,,,,,,,,950,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=1,"Make it much clearer what the code is please, I'm not sure I even pasted the right thing","[{""i"":""mturk_id"",""r"":""A5PKYZJRK1ZFW"",""d"":0},{""i"":""2008_004303"",""r"":""5""},{""i"":""2008_005300"",""r"":""7""},{""i"":""2008_005496"",""r"":""3""},{""i"":""2008_005566"",""r"":""7""},{""i"":""2008_005600"",""r"":""5""},{""i"":""2008_006081"",""r"":""5""},{""i"":""2008_006377"",""r"":""5""},{""i"":""2008_006609"",""r"":""6""},{""i"":""2008_007403"",""r"":""4""},{""i"":""2008_007610"",""r"":""8""},{""i"":""2009_000504"",""r"":""7""},{""i"":""2009_000684"",""r"":""8""},{""i"":""2009_001391"",""r"":""7""},{""i"":""2009_002008"",""r"":""6""}]",50,5
375VSR8FVXKARNPGOFVSL1JMZDZZRO,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,3NPI0JQDAQGVFIXVVX7MJ2EF8HYTPT,A2ZQCHONMAJZF,,,,,,,,878,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=1,Maybe make the survey code a bit shorter instead of a whole browser length worth.,"[{""i"":""mturk_id"",""r"":""A2ZQCHONMAJZF"",""d"":0},{""i"":""2008_004303"",""r"":""2""},{""i"":""2008_005300"",""r"":""1""},{""i"":""2008_005496"",""r"":""5""},{""i"":""2008_005566"",""r"":""10""},{""i"":""2008_005600"",""r"":""10""},{""i"":""2008_006081"",""r"":""1""},{""i"":""2008_006377"",""r"":""9""},{""i"":""2008_006609"",""r"":""8""},{""i"":""2008_007403"",""r"":""1""},{""i"":""2008_007610"",""r"":""8""},{""i"":""2009_000504"",""r"":""7""},{""i"":""2009_000684"",""r"":""8""},{""i"":""2009_001391"",""r"":""9""},{""i"":""2009_002008"",""r"":""4""}]",30,3
